# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
10,2535,0.922716,1.606994,4.121255
10,2535,0.676815,1.697508,4.330534
10,2535,0.476277,1.433821,4.254472
10,2535,0.431847,1.244965,3.236210
10,2535,0.419501,1.092612,2.836055
9,2339,0.790914,1.414832,5.002011
9,2339,0.738089,1.492298,4.274221
9,2339,0.479865,1.095833,3.442528
9,2339,0.409923,1.077521,2.906657
10,2611,0.898563,1.633450,4.629919
10,2611,0.742040,1.685759,4.157754
10,2611,0.486987,1.346502,3.765941
10,2611,0.471255,1.232169,2.751847
11,2855,0.962984,1.722611,4.888258
11,2851,0.895271,1.928105,4.116611
11,2851,0.695576,1.636252,3.343945
11,2851,0.532204,1.256482,2.585843
11,2720,0.900524,1.797105,4.159631
11,2720,0.839164,1.941762,4.244113
11,2720,0.537703,1.557773,2.833904
11,2720,0.476575,1.269835,2.428834
12,2782,0.967857,2.685029,4.349479
12,2782,0.843679,1.863913,3.417318
12,2782,0.539678,1.389835,2.934972
12,2782,0.494251,1.330932,2.525330
13,2900,1.081033,2.422087,4.762529
13,2900,0.876985,2.131921,3.928641
13,2900,0.599641,1.615888,2.764691
13,2900,0.527484,1.559893,2.362977
14,2932,1.048287,2.721426,4.655592
14,2932,0.867701,1.902124,2.673886
15,2879,1.140153,2.257315,3.844211
15,2879,0.873657,2.325121,3.140938
15,2879,0.721814,1.546435,2.585224
16,2907,0.961626,2.669769,4.619200
16,2907,0.954055,1.926094,2.739290
17,3035,1.040015,1.989066,3.110632
18,3094,0.936264,2.281466,4.030909
19,3159,1.198037,2.243613,4.818413
19,3139,1.041149,1.631111,3.574897
20,3276,1.278863,2.309192,4.439311
20,3259,1.065103,1.941314,3.596093
20,3259,1.009976,1.964659,2.964407
21,3496,1.225726,2.566111,5.609991
21,3496,1.091225,2.357652,3.991108
21,3496,1.147714,2.497419,3.558653
21,3496,0.685633,1.743367,2.790369
22,3621,1.375688,3.750245,5.251559
22,3621,1.185267,2.682813,3.375950
22,3621,1.083819,2.436393,3.244159
23,3637,0.950677,2.987334,4.646065
23,3620,2.400972,2.592307,3.490008
23,3620,1.124047,2.351362,2.786078
24,3713,1.067889,2.767471,5.225907
24,3705,1.165961,2.582374,3.935475
24,3705,1.155199,2.299974,2.747387
25,3841,1.310700,2.663483,5.403645
25,3841,1.180784,2.288111,4.004221
25,3841,6.056702,2.555889,3.294107
26,4017,1.218417,2.812991,6.079814
26,3997,1.295940,2.595741,4.064750
26,3997,1.338386,2.567346,4.194417
