#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
535.372379,35,8,4810,22284
421.134494,36,8,5098,23008
486.453443,36,9,5397,23735
455.888162,35,10,5310,23414
501.170821,38,8,5651,24462
359.891842,27,19,4107,18988
150.427174,25,22,3716,17620
323.376312,25,23,3707,17487
60.629701,26,23,3704,17763
257.656085,27,23,3793,18272
57.080440,28,23,3845,18687
125.515563,29,23,3941,19179
57.779388,28,25,3678,18099
348.940531,29,25,3842,18747
244.667075,29,26,4002,19085
171.660665,27,29,3785,18369
218.539258,20,37,3573,17697
205.720341,19,39,3234,15847
213.654875,20,39,3328,16197
78.242851,13,47,2004,7846
235.075254,14,47,2057,8218
167.107504,15,48,2179,8532
135.417190,17,47,2452,9529
154.183723,14,50,2354,8945
93.046918,10,54,1837,6139
107.244421,9,49,1714,5240
86.298636,10,49,1841,5611
107.404245,9,49,1767,5245
87.063236,10,49,1875,5651
87.302787,7,49,1536,4311
83.151426,10,50,1825,5632
122.006630,9,49,1730,5073
85.344797,10,49,1892,5480
94.988004,11,49,1957,5787
95.294089,12,49,2037,6121
121.375139,12,49,2007,5929
94.028253,13,49,2129,6299
107.727342,14,49,2364,6749
144.110299,15,49,2382,6915
113.320298,16,49,2322,7070
110.441326,16,50,2340,6935
116.411870,17,50,2394,7239
117.735743,12,21,1857,5568
92.408022,14,20,1936,5877
92.573320,14,21,2044,6169
90.330350,14,19,1993,5961
48.742249,18,33,2472,7816
111.450718,17,18,1683,5147
86.879640,17,19,1901,5625
96.782997,19,18,2133,6094
117.341444,16,21,1946,5395
88.784698,16,22,2024,5681
119.078584,16,21,1928,5493
90.892842,17,21,1920,5752
93.673438,16,23,1943,6036
97.281791,16,23,1999,6369
144.081978,15,25,2119,6716
161.117025,14,27,2465,7476
158.536327,10,31,2582,7251
145.948690,8,34,2605,6801
135.963081,7,35,2405,6503
90.762844,6,31,2186,6107
80.647665,4,12,1691,3970
72.447064,5,12,1656,4475
514.262219,30,74,4917,19296
276.061093,25,40,4278,16118
269.623344,25,41,4387,16419
312.515371,29,46,5086,19449
143.611244,24,38,3878,15874
47.116948,22,38,3505,14855
226.982396,25,39,4050,16625
179.142824,23,39,3709,15336
221.059894,25,41,4036,16293
191.694292,24,40,3818,15633
330.528220,25,40,4050,16172
203.160922,23,42,3935,15772
206.925838,27,40,4299,17025
199.915554,22,40,3835,15715
275.931945,26,42,4263,17056
296.523344,25,39,4316,16979
233.319840,22,42,4221,16392
207.891431,15,40,2846,9405
164.113710,17,40,3086,11126
151.994330,17,40,3004,10106
163.557178,18,40,3126,10587
190.767582,15,44,2835,9217
